OTU	048A.517966	124A.517917	136A.517974	160A.517963	179A.517951	171A.517912	025A.517964	024A.517911	199A.517916	226A.517958	222A.517938	193A.517981	103A.517930	211A.517952	216A.517955	194A.517927	184A.517980	213B.517909	005A.517956	046A.517923	209A.517959	234A.517934	164A.517939	080A.517947	233A.517978	156A.517946	051A.517935	086A.517933	034B.517954	206A.517983	187A.517965	172A.517920	004A.517975	018A.517925	155A.517926	166A.517960	114C.517973	182A.517969	218A.517928	140A.517937	207A.517949	185A.517953	146A.517915	062B.517972	180A.517910	214A.517924	191C.517943	177A.517976	200A.517948	130A.517982	195A.517961	153A.517929	198A.517940	210A.517945	035A.517979	079A.517967	228A.517932	178A.517971	219A.517977	186A.517918	099A.517921	118B.517968	139A.517913	165A.517970	192A.517922	119A.517957	148A.517931	009A.517942	202A.517941	142A.517962	162A.517936	016A.517944	120D.517914	038A.517919	215A.517950
k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g___s__	18.0	0.0	0.0	0.0	6.0	0.0	23.0	10.0	66.0	81.0	24.0	0.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	44.0	2.0	0.0	114.0	0.0	0.0	36.0	8.0	0.0	15.0	6.0	3.0	0.0	0.0	64.0	0.0	0.0	0.0	25.0	1.0	4.0	17.0	56.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	73.0	36.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__acidifaciens	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__	24.0	9.0	2.0	1.0	25.0	0.0	3.0	5.0	24.0	2.0	81.0	12.0	41.0	65.0	31.0	0.0	15.0	1.0	62.0	22.0	18.0	19.0	0.0	8.0	11.0	2.0	7.0	37.0	6.0	9.0	25.0	1.0	0.0	2.0	51.0	0.0	15.0	9.0	5.0	0.0	19.0	72.0	16.0	2.0	0.0	0.0	0.0	0.0	16.0	3.0	16.0	26.0	1.0	43.0	0.0	0.0	1.0	2.0	2.0	55.0	3.0	1.0	0.0	0.0	8.0	19.0	7.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Coprococcus_s__	26.0	82.0	13.0	3.0	50.0	0.0	15.0	16.0	14.0	14.0	19.0	35.0	96.0	34.0	7.0	0.0	2.0	0.0	86.0	33.0	1.0	37.0	0.0	5.0	33.0	3.0	39.0	100.0	0.0	13.0	21.0	6.0	1.0	1.0	2.0	4.0	6.0	1.0	91.0	13.0	11.0	15.0	6.0	2.0	2.0	0.0	1.0	3.0	20.0	2.0	14.0	24.0	0.0	26.0	0.0	2.0	6.0	19.0	1.0	7.0	1.0	0.0	0.0	0.0	17.0	60.0	14.0	0.0	0.0	0.0	4.0	19.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium_s__prausnitzii	98.0	2.0	247.0	2.0	166.0	0.0	230.0	42.0	38.0	149.0	410.0	224.0	197.0	292.0	334.0	228.0	40.0	279.0	0.0	209.0	85.0	164.0	0.0	41.0	133.0	307.0	65.0	151.0	83.0	354.0	308.0	617.0	0.0	1.0	81.0	299.0	469.0	481.0	202.0	319.0	359.0	232.0	14.0	0.0	0.0	0.0	0.0	195.0	227.0	68.0	164.0	0.0	0.0	200.0	0.0	0.0	157.0	22.0	4.0	78.0	380.0	76.0	0.0	0.0	288.0	82.0	139.0	0.0	0.0	0.0	34.0	285.0	0.0	0.0	8.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__	1.0	0.0	23.0	3.0	14.0	173.0	2.0	0.0	26.0	6.0	1.0	3.0	18.0	5.0	0.0	21.0	10.0	21.0	0.0	9.0	0.0	18.0	1.0	1.0	33.0	127.0	28.0	54.0	1.0	16.0	42.0	0.0	0.0	0.0	3.0	0.0	4.0	45.0	0.0	9.0	7.0	16.0	43.0	0.0	0.0	13.0	0.0	0.0	26.0	1.0	5.0	0.0	10.0	7.0	0.0	0.0	1.0	101.0	76.0	0.0	0.0	68.0	0.0	0.0	1.0	0.0	0.0	0.0	40.0	0.0	0.0	1.0	0.0	0.0	23.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcus_s__anaerobius	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__producta	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Dehalobacteriaceae_g__Dehalobacterium_s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
